h,profile,B,is_most_balanced,q_v,a_A,a_B,delta_A,delta_B
2,"1,1,0",0.6666666666666667,true,0.14814814814814814,0.2571307335940172,0.2571307331195103,0.03490851137179496,0.03490851089736702
2,"2,0,0",2.666666666666667,false,0.037037037037037035,0.1670258124346915,0.16702581200265673,-0.055196409787530765,-0.05519641021948654
3,"1,1,1",0,true,0.08183798055007462,0.19443379982406783,0.19443380001706032,0.04544858062969104,0.04544858034747745
3,"2,1,0",2,false,0.02906222657899217,0.11664191144898828,0.11664191045507329,-0.032343307745388516,-0.03234330921450958
4,"2,1,1",0.6666666666666666,true,0.08797229660992646,0.1614154912056425,0.16141549016732598,0.008014739621859807,0.008014737617312001
5,"2,2,1",0.6666666666666666,true,0.026961882664208237,0.17863778038554828,0.1786377818992828,0.017222289179866762,0.017222291731946393
5,"3,1,1",2.666666666666667,false,0.03538618426563299,0.1195128037024191,0.1195128032619811,-0.041902687503262426,-0.04190268690535531
5,"3,2,0",4.666666666666667,false,0.0035877507789526925,0.15647373807849854,0.15647373813071794,-0.0049417531271829795,-0.00494175203661848
6,"2,2,2",0,true,0.006799318565474625,0.1263361682468669,0.12633616916776333,0.006305137160760171,0.006305137970582561
6,"3,2,1",2,false,0.04638448385907413,0.10853030271439794,0.1085303034268826,-0.011500728371708777,-0.011500727770298175
6,"4,1,1",6,false,0.003976067159810801,0.10709809955802828,0.10709809986849478,-0.012932931528078437,-0.01293293132868599
7,"3,2,2",0.6666666666666667,true,0.02406097114766112,0.10607664946549876,0.10607665033681093,0.013880646210813252,0.013880647557294373
7,"3,3,1",2.6666666666666665,false,0.016571608899333456,0.07815731192490297,0.07815731193042251,-0.01403869132978254,-0.014038690849094052
7,"4,2,1",4.666666666666666,false,0.0021021725007009094,0.08626094358508339,0.0862609434568717,-0.005935059669602116,-0.005935059322644862
7,"5,1,1",10.666666666666668,false,0.000053327963325788476,0.09185521614504356,0.09185521565436773,-0.0003407871096419435,-0.0003407871251488309
