population,eIndex,E_sha,A_sha,rank,pairId,primary_AFE_EXISTS,secondary_AFE_EXISTS,joint_AF_AND_AFE,match,nodes,cap_status,witness_sha256,witness_literal_ok
H,0,bbbbf8344484b388,3c206f1d7cff6e1d,44,"0|3c206f1d7cff6e1d",true,true,false,true,181860,exact,15479792d5cf0f888ad52affbcef6c229d79bc967c645f7a6bada00ea55de9b9,true
H,0,bbbbf8344484b388,e346254b991d999f,52,"0|e346254b991d999f",true,true,false,true,166296,exact,6ee1eb712b6f2b862b89f09f79e6b74e5855fb0c2be454e6e2180572b346f723,true
H,0,bbbbf8344484b388,1d73299bd17892a7,74,"0|1d73299bd17892a7",false,false,false,true,149632,exact,,
H,0,bbbbf8344484b388,f5496bdf42bf1061,417,"0|f5496bdf42bf1061",true,true,false,true,198355,exact,15479792d5cf0f888ad52affbcef6c229d79bc967c645f7a6bada00ea55de9b9,true
H,0,bbbbf8344484b388,cfe338598de97d03,419,"0|cfe338598de97d03",true,true,false,true,167121,exact,15479792d5cf0f888ad52affbcef6c229d79bc967c645f7a6bada00ea55de9b9,true
H,0,bbbbf8344484b388,a0531c8c004ee500,432,"0|a0531c8c004ee500",true,true,false,true,5536,exact,a834dcbd373e3620b4d63d12b279405c29b7f208aa3c7773fb3184e871238af3,true
H,0,bbbbf8344484b388,52a2380311e27878,2018,"0|52a2380311e27878",false,false,false,true,18221,exact,,
H,0,bbbbf8344484b388,acc86ac7904a6532,2046,"0|acc86ac7904a6532",false,false,false,true,13089,exact,,
H,0,bbbbf8344484b388,77b6a08e535d6dd5,2063,"0|77b6a08e535d6dd5",true,true,true,true,5353,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,cf966ab94ee29131,2066,"0|cf966ab94ee29131",true,true,true,true,12610,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,5d4bcd51df51d9d7,2067,"0|5d4bcd51df51d9d7",true,true,true,true,50740,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,799d452bc41b07d7,2073,"0|799d452bc41b07d7",false,false,false,true,10400,exact,,
H,0,bbbbf8344484b388,ac44ddd1afc191ae,2074,"0|ac44ddd1afc191ae",false,false,false,true,61050,exact,,
H,0,bbbbf8344484b388,6814bed55e85c387,2078,"0|6814bed55e85c387",false,false,false,true,30836,exact,,
H,0,bbbbf8344484b388,3a59505481a9a80e,2099,"0|3a59505481a9a80e",true,true,true,true,6521,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,0641a4604a612e0c,2101,"0|0641a4604a612e0c",true,true,true,true,15318,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,e461d92ba7cd5341,2104,"0|e461d92ba7cd5341",true,true,true,true,19289,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,957cf58c90eab712,2105,"0|957cf58c90eab712",true,true,true,true,58469,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,ba2b62200204afee,2135,"0|ba2b62200204afee",true,true,true,true,62783,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,3329915fa82897ca,2136,"0|3329915fa82897ca",true,true,true,true,60835,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,793535e10c89c639,2138,"0|793535e10c89c639",true,true,true,true,74085,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,0,bbbbf8344484b388,eb919d26636d9457,2182,"0|eb919d26636d9457",false,false,false,true,121933,exact,,
H,0,bbbbf8344484b388,da0fdf85ea39ffe8,2187,"0|da0fdf85ea39ffe8",false,false,false,true,134041,exact,,
H,0,bbbbf8344484b388,e3840acf309a9550,2477,"0|e3840acf309a9550",false,false,false,true,77964,exact,,
H,0,bbbbf8344484b388,ecca60333875636c,2486,"0|ecca60333875636c",false,false,false,true,82511,exact,,
H,0,bbbbf8344484b388,4ba7e090ff130d71,2864,"0|4ba7e090ff130d71",false,false,false,true,40258,exact,,
H,0,bbbbf8344484b388,16b4ee190bc5d750,2866,"0|16b4ee190bc5d750",false,false,false,true,35509,exact,,
H,0,bbbbf8344484b388,2297d783d127f680,2928,"0|2297d783d127f680",false,false,false,true,40379,exact,,
H,0,bbbbf8344484b388,d84ad5c820154473,2979,"0|d84ad5c820154473",false,false,false,true,89563,exact,,
H,0,bbbbf8344484b388,6c5976e1001686e9,3066,"0|6c5976e1001686e9",true,true,false,true,20407,exact,e2ebb12949e4125a9742f650a115311cbdec4b7c67e7d17da61c09312338f9f3,true
H,0,bbbbf8344484b388,6eb9b5265601cbc2,3213,"0|6eb9b5265601cbc2",false,false,false,true,62607,exact,,
H,0,bbbbf8344484b388,2670989106b135e0,4527,"0|2670989106b135e0",false,false,false,true,58850,exact,,
H,1,9c4fdf00facdbbc2,3c206f1d7cff6e1d,44,"1|3c206f1d7cff6e1d",true,true,false,true,182244,exact,15479792d5cf0f888ad52affbcef6c229d79bc967c645f7a6bada00ea55de9b9,true
H,1,9c4fdf00facdbbc2,e346254b991d999f,52,"1|e346254b991d999f",true,true,false,true,166460,exact,6ee1eb712b6f2b862b89f09f79e6b74e5855fb0c2be454e6e2180572b346f723,true
H,1,9c4fdf00facdbbc2,1d73299bd17892a7,74,"1|1d73299bd17892a7",false,false,false,true,150328,exact,,
H,1,9c4fdf00facdbbc2,f5496bdf42bf1061,417,"1|f5496bdf42bf1061",true,true,false,true,198757,exact,15479792d5cf0f888ad52affbcef6c229d79bc967c645f7a6bada00ea55de9b9,true
H,1,9c4fdf00facdbbc2,cfe338598de97d03,419,"1|cfe338598de97d03",true,true,false,true,167498,exact,15479792d5cf0f888ad52affbcef6c229d79bc967c645f7a6bada00ea55de9b9,true
H,1,9c4fdf00facdbbc2,a0531c8c004ee500,432,"1|a0531c8c004ee500",true,true,false,true,5536,exact,a834dcbd373e3620b4d63d12b279405c29b7f208aa3c7773fb3184e871238af3,true
H,1,9c4fdf00facdbbc2,52a2380311e27878,2018,"1|52a2380311e27878",false,false,false,true,18190,exact,,
H,1,9c4fdf00facdbbc2,acc86ac7904a6532,2046,"1|acc86ac7904a6532",false,false,false,true,13056,exact,,
H,1,9c4fdf00facdbbc2,77b6a08e535d6dd5,2063,"1|77b6a08e535d6dd5",true,true,true,true,5356,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,cf966ab94ee29131,2066,"1|cf966ab94ee29131",true,true,true,true,12610,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,5d4bcd51df51d9d7,2067,"1|5d4bcd51df51d9d7",true,true,true,true,50740,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,799d452bc41b07d7,2073,"1|799d452bc41b07d7",false,false,false,true,10356,exact,,
H,1,9c4fdf00facdbbc2,ac44ddd1afc191ae,2074,"1|ac44ddd1afc191ae",false,false,false,true,61050,exact,,
H,1,9c4fdf00facdbbc2,6814bed55e85c387,2078,"1|6814bed55e85c387",false,false,false,true,30837,exact,,
H,1,9c4fdf00facdbbc2,3a59505481a9a80e,2099,"1|3a59505481a9a80e",true,true,true,true,6524,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,0641a4604a612e0c,2101,"1|0641a4604a612e0c",true,true,true,true,15448,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,e461d92ba7cd5341,2104,"1|e461d92ba7cd5341",true,true,true,true,19289,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,957cf58c90eab712,2105,"1|957cf58c90eab712",true,true,true,true,58469,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,ba2b62200204afee,2135,"1|ba2b62200204afee",true,true,true,true,62783,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,3329915fa82897ca,2136,"1|3329915fa82897ca",true,true,true,true,60835,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,793535e10c89c639,2138,"1|793535e10c89c639",true,true,true,true,74085,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,1,9c4fdf00facdbbc2,eb919d26636d9457,2182,"1|eb919d26636d9457",false,false,false,true,121912,exact,,
H,1,9c4fdf00facdbbc2,da0fdf85ea39ffe8,2187,"1|da0fdf85ea39ffe8",false,false,false,true,134018,exact,,
H,1,9c4fdf00facdbbc2,e3840acf309a9550,2477,"1|e3840acf309a9550",false,false,false,true,78096,exact,,
H,1,9c4fdf00facdbbc2,ecca60333875636c,2486,"1|ecca60333875636c",false,false,false,true,82607,exact,,
H,1,9c4fdf00facdbbc2,4ba7e090ff130d71,2864,"1|4ba7e090ff130d71",false,false,false,true,40296,exact,,
H,1,9c4fdf00facdbbc2,16b4ee190bc5d750,2866,"1|16b4ee190bc5d750",false,false,false,true,35547,exact,,
H,1,9c4fdf00facdbbc2,2297d783d127f680,2928,"1|2297d783d127f680",false,false,false,true,40413,exact,,
H,1,9c4fdf00facdbbc2,d84ad5c820154473,2979,"1|d84ad5c820154473",false,false,false,true,89919,exact,,
H,1,9c4fdf00facdbbc2,6c5976e1001686e9,3066,"1|6c5976e1001686e9",true,true,false,true,20392,exact,e2ebb12949e4125a9742f650a115311cbdec4b7c67e7d17da61c09312338f9f3,true
H,1,9c4fdf00facdbbc2,6eb9b5265601cbc2,3213,"1|6eb9b5265601cbc2",false,false,false,true,62776,exact,,
H,1,9c4fdf00facdbbc2,2670989106b135e0,4518,"1|2670989106b135e0",false,false,false,true,59018,exact,,
H,2,6928cbc8f9892669,52a2380311e27878,57,"2|52a2380311e27878",false,false,false,true,26310,exact,,
H,2,6928cbc8f9892669,acc86ac7904a6532,84,"2|acc86ac7904a6532",false,false,false,true,23946,exact,,
H,2,6928cbc8f9892669,77b6a08e535d6dd5,101,"2|77b6a08e535d6dd5",true,true,true,true,5231,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
H,2,6928cbc8f9892669,cf966ab94ee29131,104,"2|cf966ab94ee29131",true,true,true,true,12106,exact,aa8bc5c746fd5ce1c745549ccdc2082f2c4f5ee52f6bc8c23edac1c3937cf508,true
